temperature,pressure
300.0458723784025,1.0
292.40331264552975,0.8682540279894776
285.61157090319466,0.753865057119951
279.40771036798606,0.6545463724049151
273.1017680108936,0.5683125243464682
266.9312284791148,0.493439638420688
259.97376690835586,0.42843095362843375
253.48244674381024,0.3719869012032607
245.4035891451533,0.32297912532905493
237.8994608414935,0.2804279265234697
229.95795855690668,0.24348267676473978
222.08415778675396,0.2114048148466453
214.2299691316053,0.18355308202696916
207.09838619515804,0.15937070281979893
200.78325911572267,0.13837425466680442
197.32217894107987,0.12014400398449446
195.08909396545548,0.10431551539832117
196.1350841620506,0.09057236642639072
197.82815763558665,0.07863982197425251
200.4196860211097,0.06827934218952017
203.05788249345397,0.059283813884522765
205.56506022894973,0.05147341019981531
208.3187103157293,0.0446919957403443
210.83005496595413,0.038804005320442515
213.3008880931281,0.033691733921599264
215.4517213931539,0.029252983687378272
217.33031476705864,0.025399020917276666
219.00539544787117,0.02205280221841442
220.4939140877794,0.019147434354593606
222.11474546065563,0.01662483700404
223.6187910611368,0.01443458169342622
225.93648549347628,0.01253288369766049
228.3147638212005,0.010881726752817377
231.4864976004103,0.009448103084614537
234.76467661689065,0.008203353560076381
238.1664457654775,0.00712259477155813
241.43760344319088,0.00618422160014214
244.40522236512174,0.00536947531430294
247.32471429236006,0.004662068569833589
249.9224768329816,0.004047859814521157
252.36768944048268,0.0035145705886947304
254.64332920880585,0.003051540070287546
256.84236096124266,0.0026495119575984556
258.85192231172834,0.0023004494293911424
260.6539895590246,0.0019973744832549527
262.2828711563009,0.001734228440489514
263.70748741629455,0.0015057508289089293
264.94366211592813,0.0013073742223486725
266.010283280861,0.0011351329346438444
266.9225162466914,0.0009855837428080333
267.4995974901204,0.0008557370546140203
267.83069854752284,0.000742997144568474
267.6665313122447,0.0006451102635562577
267.39694458179963,0.0005601195848300737
266.14721596723757,0.0004863260856845048
264.77602588728433,0.00042225458281192714
262.7006971244404,0.0003666242423634718
260.2415069703388,0.00031832297519067453
257.39353592004767,0.0002763852054108977
254.11037799421152,0.00023997256787471085
250.9272555822313,0.00020835714866419578
247.2746269352228,0.0001809069335880904
243.86289991385792,0.00015707317377908425
240.01560970226353,0.00013637941582278108
236.3246032250608,0.00011841197712298146
232.59409645851068,0.0001028116760992264
228.92777347010497,8.926665189750274e-05
225.49762127191622,7.75061300751413e-05
222.2498833539363,6.729500963161782e-05
219.3798016532705,5.842916317624275e-05
216.85304061093566,5.073135627982722e-05
214.74493557475049,4.404770443532926e-05
213.09503242343408,3.8244596799664614e-05
211.74329752408664,3.320602522014222e-05
210.63576332934397,2.8831265150908658e-05
209.70633760467157,2.5032862099309092e-05
208.90843952012023,2.1734883349830205e-05
208.19285000409286,1.8871400016371507e-05
207.58868520605733,1.6385169078015253e-05
207.12194357865414,1.422648905127535e-05
206.6368916484918,1.2352206422918023e-05
206.1318509252174,1.072485298125607e-05
205.358374545825,9.31189680057052e-06
204.56174799046602,8.085091905317684e-06
203.29424290938184,7.019913613457199e-06
202.00818866224205,6.095068271022369e-06
200.1325666036462,5.292067577186033e-06
198.28927155791268,4.594858990284288e-06
196.36571627067025,3.989504826357989e-06
194.5710844113171,3.463903635168786e-06
192.9412438707239,3.007548283802692e-06
191.3852636471381,2.6113159117845275e-06
190.02873900787426,2.267285558759927e-06
189.09162296155506,1.96857981899568e-06
188.31853168528664,1.709227357261796e-06
187.74113727613425,1.484043537692361e-06
187.40180010901273,1.2885267793131465e-06
187.23751796739768,1.1187685663109482e-06
187.245640624333,9.713753140874917e-07
187.29941154237565,8.434005291460086e-07
187.2410139283008,7.322859066394788e-07
187.2139240082209,6.358101880796528e-07
187.27169327114697,5.520447568369058e-07
187.3841192466705,4.793150837541151e-07
187.5517683571355,4.1616725214562427e-07
187.8916224421031,3.613388929927501e-07
188.27029813048694,3.137339493102141e-07
188.8994080909246,2.7240076520564e-07
189.59471619397004,2.3651306161721237e-07
190.94692712511477,2.0535341842126814e-07
192.6239111708881,1.7829893270567465e-07
194.86106985638793,1.548087665079265e-07
198.0535413101302,1.3441333508858972e-07
201.65056320499724,1.167049196061674e-07
206.82573205892723,1.013295165342428e-07
212.0203838990999,8.797976088508267e-08
220.7871650571899,7.638878177002412e-08
230.72570155903315,6.632486746503248e-08
244.66086710391255,5.7586833332382704e-08
261.0781512605042,5e-08
