#wavelength,flux
83.82,2064.5032
84.07,2064.5032
84.32,2064.5032
84.57,2064.5032
84.82,2064.5032
85.07,2064.5032
85.32,2064.5032
85.57,2632.3918
85.82,3558.9475
86.07,3558.9475
86.32,3558.9475
86.57,3558.9475
86.82,3558.9475
87.07,3558.9475
87.32,3558.9475
87.57,3558.9475
87.82,3558.9475
88.07,3558.9475
88.32,3558.9475
88.57,3558.9475
88.82,3558.9475
89.07,3558.9475
89.32,3558.9475
89.57,3558.9475
89.82,3558.9475
90.07,3558.9475
90.32,3558.9475
90.57,3558.9475
90.82,3558.9475
91.07,3558.9475
91.32,3558.9475
91.57,3558.9475
91.82,3558.9475
92.07,3558.9475
92.32,3558.9475
92.57,3558.9475
92.82,3558.9475
93.07,3558.9475
93.32,3558.9475
93.57,3558.9475
93.82,3558.9475
94.07,3558.9475
94.32,3558.9475
94.57,3558.9475
94.82,3558.9475
95.07,3558.9475
95.32,3558.9475
95.57,3558.9475
95.82,3558.9475
96.07,3558.9475
96.32,3558.9475
96.57,3558.9475
96.82,3558.9475
97.07,2590.4414
97.32,1010.2464
97.57,1010.2464
97.82,1010.2464
98.07,1010.2464
98.32,1010.2464
98.57,1010.2464
98.82,1010.2464
99.07,1010.2464
99.32,1010.2464
99.57,1010.2464
99.82,1010.2464
100.07,1010.2464
100.32,1010.2464
100.57,1010.2464
100.82,1010.2464
101.07,1010.2464
101.32,1010.2464
101.57,1010.2464
101.82,1010.2464
102.07,1010.2464
102.32,1010.2464
102.57,1010.2464
102.82,1010.2464
103.07,6487.049
103.32,6124.652
103.57,1054.6091
103.82,1865.6857
104.07,604.1996
104.57,765.36816
104.82,682.82275
105.32,54.350895
105.57,2222.1003
105.82,1736.8392
106.07,3225.0254
106.32,1446.6486
106.57,598.9245
106.82,686.97876
107.07,1155.1239
107.32,1496.5013
107.57,333.7967
107.82,801.8579
108.07,1274.1415
108.32,455.43756
108.57,2346.7202
108.82,172.29274
109.32,603.4045
109.57,823.9505
109.82,475.55234
110.07,987.531
110.32,1574.026
110.57,594.7037
111.32,1070.4714
111.57,757.6746
111.82,401.28082
112.07,542.0724
112.32,837.13544
112.57,185.72438
112.82,960.20557
113.07,92.7757
113.32,182.04282
113.57,325.75256
113.82,408.4712
114.07,562.19794
114.32,638.5506
114.57,515.45374
114.82,503.34683
115.07,437.84677
115.32,668.9377
115.57,1211.424
