wavelength	flux
83.82	1952.4114
84.07	1952.4114
84.32	1952.4114
84.57	1952.4114
84.82	1952.4114
85.07	1952.4114
85.32	1952.4114
85.57	2482.394
85.82	3347.1033
86.07	3347.1033
86.32	3347.1033
86.57	3347.1033
86.82	3347.1033
87.07	3347.1033
87.32	3347.1033
87.57	3347.1033
87.82	3347.1033
88.07	3347.1033
88.32	3347.1033
88.57	3347.1033
88.82	3347.1033
89.07	3347.1033
89.32	3347.1033
89.57	3347.1033
89.82	3347.1033
90.07	3347.1033
90.32	3347.1033
90.57	3347.1033
90.82	3347.1033
91.07	3347.1033
91.32	3347.1033
91.57	3347.1033
91.82	3347.1033
92.07	3347.1033
92.32	3347.1033
92.57	3347.1033
92.82	3347.1033
93.07	3347.1033
93.32	3347.1033
93.57	3347.1033
93.82	3347.1033
94.07	3347.1033
94.32	3347.1033
94.57	3347.1033
94.82	3347.1033
95.07	3347.1033
95.32	3347.1033
95.57	3347.1033
95.82	3347.1033
96.07	3347.1033
96.32	3347.1033
96.57	3347.1033
96.82	3347.1033
97.07	2438.7888
97.32	956.80145
97.57	956.80145
97.82	956.80145
98.07	956.80145
98.32	956.80145
98.57	956.80145
98.82	956.80145
99.07	956.80145
99.32	956.80145
99.57	956.80145
99.82	956.80145
100.07	956.80145
100.32	956.80145
100.57	956.80145
100.82	956.80145
101.07	956.80145
101.32	956.80145
101.57	956.80145
101.82	956.80145
102.07	956.80145
102.32	956.80145
102.57	956.80145
102.82	956.80145
103.07	6402.4604
103.32	6036.2427
103.57	1078.6436
103.82	1848.1013
104.07	562.38654
104.57	780.9243
104.82	639.01154
105.32	91.59363
105.57	2224.9548
105.82	1778.8608
106.07	3232.0476
106.32	1488.474
106.57	616.2263
106.82	670.6957
107.07	1137.9666
107.32	1444.6327
107.57	325.41992
107.82	795.8866
108.07	1244.6575
108.32	488.31924
108.57	2307.58
108.82	191.41971
109.32	597.51526
109.57	844.3815
109.82	471.20685
110.07	969.3304
110.32	1542.5461
110.57	584.23456
111.32	1052.9218
111.57	758.02686
111.82	391.77377
112.07	554.91785
112.32	838.6996
112.57	186.88666
112.82	939.182
113.07	85.827545
113.32	181.49886
113.57	333.3098
113.82	404.37186
114.07	563.32776
114.32	640.6217
114.57	514.6406
114.82	507.46542
115.07	420.9488
115.32	653.90906
115.57	1203.825
115.82	899.0833
116.07	870.62524
116.32	869.3256
116.57	1659.3385
116.82	1503.9656
117.07	1376.5258
117.32	836.6343
117.57	9187.436
117.82	786.4344
118.07	553.1531
118.32	657.004
118.57	752.33844
118.82	939.5442
119.07	1376.9713
119.32	1645.1538
119.57	1079.8613
119.82	1491.58
120.07	1793.8424
120.32	1103.6451
120.57	16286.891
120.82	1550.7639
