wavelength	flux
33.570004	49382.076748906635
33.820004	7987.912716255111
34.070004	9770.601604883883
34.570004	19334.41596329343
34.820004	11927.973828912494
35.070004	11333.080603549326
35.320004	10775.971881617545
35.570004	4953.384127165674
35.820004	17811.743194237373
36.070004	6048.606091093449
36.320004	12266.414836941385
36.570004	31559.148018428434
36.820004	19961.249844377486
37.070004	826.9164992863771
37.320004	1286.2755339799544
38.070004	2501.2408945232974
38.320004	3992.6640717065407
39.320004	272.37292053344055
39.820004	2609.484161691262
40.070004	4670.787801282119
41.070004	1550.9766380603455
41.320004	1005.7392358113915
41.570004	5997.350751171179
41.820004	1512.9074389326163
42.070004	119.10131597099834
42.570004	976.8077422038048
42.820004	3206.672504397463
43.070004	3422.414129617781
43.320004	3714.3402636817837
43.570004	6790.737861856507
43.820004	461.4358704616967
44.320004	1043.319885819666
44.570004	1880.2255746981355
44.820004	1504.6951431694195
45.070004	176.40083365733813
45.320004	2648.5912952855942
45.570004	1042.826948757138
45.820004	1326.6944394374227
46.070004	1649.5570596057978
46.320004	6710.243649195777
46.570004	7819.234234768081
46.820004	2076.4780392009716
47.070004	2041.127431108796
47.820004	1650.0438981711734
48.070004	2664.7026322997112
48.320004	1993.4526527342548
48.570004	2497.693949081824
48.820004	2385.068093618649
49.070004	2470.056749936997
49.320004	679.3675255070389
49.570004	3831.181519371888
49.820004	12354.846020530447
50.070004	3979.0195024187256
50.320004	885.5477483989426
50.570004	885.5477483989426
50.820004	885.5477483989426
51.070004	885.5477483989426
51.320004	885.5477483989426
51.570004	885.5477483989426
51.820004	885.5477483989426
52.070004	885.5477483989426
52.320004	885.5477483989426
52.570004	885.5477483989426
52.820004	885.5477483989426
53.070004	885.5477483989426
53.320004	885.5477483989426
53.570004	885.5477483989426
53.820004	885.5477483989426
54.070004	885.5477483989426
54.320004	885.5477483989426
54.570004	885.5477483989426
54.820004	885.5477483989426
55.070004	2159.8043344418265
55.320004	2519.2103394991223
55.570004	2519.2103394991223
55.820004	2519.2103394991223
56.070004	2519.2103394991223
56.320004	2519.2103394991223
56.570004	2519.2103394991223
56.820004	2519.2103394991223
57.070004	2519.2103394991223
57.320004	2519.2103394991223
57.570004	2519.2103394991223
57.820004	2519.2103394991223
58.070004	2519.2103394991223
58.320004	2519.2103394991223
58.570004	2519.2103394991223
58.820004	2519.2103394991223
59.070004	2519.2103394991223
59.320004	2519.2103394991223
59.570004	2519.2103394991223
59.820004	2519.2103394991223
60.070004	2519.2103394991223
60.320004	2519.2103394991223
60.570004	2519.2103394991223
60.820004	2519.2103394991223
61.070004	2519.2103394991223
61.320004	2519.2103394991223
61.570004	2519.2103394991223
61.820004	2519.2103394991223
62.070004	2519.2103394991223
62.320004	2519.2103394991223
62.570004	2519.2103394991223
62.820004	2519.2103394991223
63.070004	2519.2103394991223
63.320004	2519.2103394991223
63.570004	2519.2103394991223
63.820004	2519.2103394991223
64.07	2519.2103394991223
64.32	2519.2103394991223
64.57	2519.2103394991223
64.82	2519.2103394991223
65.07	2133.739060124036
65.32	2025.0160940946787
65.57	2025.0160940946787
65.82	2025.0160940946787
66.07	2025.0160940946787
66.32	2025.0160940946787
66.57	2025.0160940946787
66.82	2025.0160940946787
67.07	2025.0160940946787
67.32	2025.0160940946787
67.57	2025.0160940946787
67.82	2025.0160940946787
68.07	2025.0160940946787
68.32	2025.0160940946787
68.57	2025.0160940946787
68.82	2025.0160940946787
69.07	2025.0160940946787
69.32	2025.0160940946787
69.57	2025.0160940946787
69.82	2025.0160940946787
70.07	2025.0160940946787
70.32	2025.0160940946787
70.57	2025.0160940946787
70.82	2025.0160940946787
71.07	2025.0160940946787
71.32	2025.0160940946787
71.57	2025.0160940946787
71.82	2025.0160940946787
72.07	2025.0160940946787
72.32	2025.0160940946787
72.57	2025.0160940946787
72.82	2025.0160940946787
73.07	2025.0160940946787
73.32	2025.0160940946787
73.57	2025.0160940946787
73.82	2025.0160940946787
74.07	2025.0160940946787
74.32	2025.0160940946787
74.57	2025.0160940946787
74.82	2025.0160940946787
75.07	3283.1467662278123
75.32	3638.0040361284487
75.57	3638.0040361284487
75.82	3638.0040361284487
76.07	3638.0040361284487
76.32	3638.0040361284487
76.57	3638.0040361284487
76.82	3638.0040361284487
77.07	3638.0040361284487
77.32	3638.0040361284487
77.57	3638.0040361284487
77.82	3638.0040361284487
78.07	3638.0040361284487
78.32	3638.0040361284487
78.57	3638.0040361284487
78.82	3638.0040361284487
79.07	3638.0040361284487
79.32	3638.0040361284487
79.57	3638.0040361284487
79.82	3638.0040361284487
